Player Name	GP	G	A.	Pts	PIM	Seasons	Yrs.	Pos.	Birthdate	Birthplace	Highest Level
Jean-Sebastien Aubin	31	0	0	0	0	2005-2007	2	G	1977-07-19	Montreal, PQ	Major League
Normand Aubin	69	18	13	31	30	1981-1983	2	F	1960-07-26	Saint-Leonard, PQ	Major League
Patrik Augusta	2	0	0	0	0	1993-1994	1	L	1969-11-13	Jihlava, Czech Rep.	Major League
Keith Aulie	57	2	2	4	48	2010-2012	2	D	1989-06-11	Regina, SASK	Major League
Pete Backor	36	4	5	9	6	1944-1945	1	D	1919-04-29	Fort William, ONT	Major League
Bob Bailey	86	6	9	15	128	1953-1956	3	R	1931-05-29	Kenora, ONT	Major League
Casey Bailey	6	1	0	1	2	2014-2015	1	R	1991-10-27	Anchorage, AK	Major League
Irvine "Ace" Bailey	271	96	69	165	390	1927-1934	7	L	1903-07-03	Bracebridge, ONT	Major League
Reid Bailey	1	0	0	0	2	1982-1983	1	D	1956-05-28	Toronto, ONT	Major League
Jamie Baker	71	8	13	21	38	1996-1998	2	C	1966-08-31	Nepean, ONT	Major League
Doug Baldwin	15	0	1	1	6	1945-1946	1	D	1922-11-02	Winnipeg, MAN	Major League
Earl Balfour	80	14	6	20	48	1951-1958	4	L	1933-01-04	Toronto, ONT	Major League
Andy Barbe	1	0	0	0	2	1950-1951	1	R	1923-07-27	Coniston, ONT	Major League
Bill Barilko	252	26	36	62	456	1946-1951	5	D	1927-03-25	Timmins, ONT	Major League
Tom Barrasso	4	0	0	0	0	2001-2002	1	G	1965-03-31	Boston, MA	Major League
Tyson Barrie	70	5	34	39	16	2019-2020	1	D	1991-07-26	Victoria, BC	Major League
Aldege "Baz" Bastien	5	0	0	0	0	1945-1946	1	G	1919-08-29	Timmins, ONT	Major League
Andy Bathgate	70	19	44	63	42	1963-1965	2	C	1932-08-28	Winnipeg, MAN	Major League
Bates Battaglia	95	12	19	31	52	2006-2008	2	L	1975-12-13	Chicago, IL	Major League
Ken Baumgartner	200	7	7	14	520	1991-1996	5	L	1966-03-11	Flin Flon, MAN	Major League
Bob Baun	739	29	140	169	1155	1956-1973	14	D	1936-09-09	Lanigan, SASK	Major League
Francois Beauchemin	136	7	31	38	49	2009-2011	2	D	1980-06-04	Sorel, PQ	Major League
Don Beaupre	11	0	0	0	14	1995-1997	2	G	1961-09-19	Kitchener, ONT	Major League
Wade Belak	318	7	17	24	763	2000-2008	7	D	1976-07-03	Saskatoon, SASK	Major League
Alain Belanger	9	0	1	1	6	1977-1978	1	R	1956-01-18	St. Janvier, PQ	Major League
Ken Belanger	3	0	0	0	9	1994-1995	1	L	1974-05-14	Sault Ste. Marie, ONT	Major League
Ed Belfour	170	0	5	5	52	2002-2006	3	G	1965-04-21	Carman, MAN	Major League
Brendan Bell	32	1	4	5	19	2005-2007	2	D	1983-03-31	Ottawa, ONT	Major League
Gordon Bell	8	0	0	0	0	1945-1946	1	G	1925-03-13	Portage la Prairie, MAN	Major League
Mark Bell	35	4	6	10	60	2007-2008	1	C	1980-08-05	St. Paul's, ONT	Major League
Jim Benning	364	37	136	173	289	1981-1987	6	D	1963-04-29	Edmonton, ALTA	Major League
